hebb_name,name,K,width,p,k,delta,hebb_eps0,hebb_lr_type,hebb_epochs,ratio,clas_eps0,clas_epochs,clas_lr_type,maxpool_kernel,power,activate,test_acc,seed,attack,certainty,samples,cutoff,pad,crit_eps,std_err_eps,MSE,R2,M,D,Q,B,nu
K10_w12_23,MX09_relu12,10,12,2,3,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,12.0,relu,0.5198,485578941,fgsm,0.8,607,0.0,0.1,0.0381820099134566,5.4693707139485e-05,0.0001920262297932,0.9982645987593388,-0.237505855007282,0.4148917785540356,1.3790889397941952,29.99803631609845,7.02134468967282e-05
K10_w12_23,MX09_relu16,10,12,2,3,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,16.0,relu,0.5262,383407577,fgsm,0.8,744,0.0,0.1,0.035381227102589,3.802391783342366e-05,0.0001250903637968,0.9988713391260076,-0.2427460571680215,0.4083656269602773,1.388916410650883,30.005021415094348,7.086433019087065e-05
K10_w12_23,MX09_relu20,10,12,2,3,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,20.0,relu,0.5287,6389366,fgsm,0.8,819,0.0,0.1,0.0337117323695154,4.432573561370749e-05,0.0001494234883905,0.9986503710232904,-0.2494046084328547,0.4118817213464283,1.283711730800157,29.83949380597861,6.542165852761651e-05
K10_w12_23,MX09_relu25,10,12,2,3,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,25.0,relu,0.5339,93247783,fgsm,0.8,893,0.0,0.1,0.0316744228008949,5.371375518380965e-05,0.0002425379794875,0.9978130739054144,-0.2445200128795787,0.4188496223216472,0.970772525496433,29.990497315070836,6.56683204648599e-05
K10_w12_23,MX09_relu30,10,12,2,3,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,30.0,relu,0.5344,4030275558,fgsm,0.8,927,0.0,0.1,0.0306138093797567,4.8311297595667e-05,0.0002186899853293,0.9980264591147172,-0.2546392057692027,0.4174258794455269,1.2717943763853392,29.994676158814205,6.791955534966705e-05
K10_w12_24,MX05_elu06,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,5,6.0,elu,0.5248,150944227,fgsm,0.8,537,0.0,0.1,0.0454798146752781,9.570833313284916e-05,8.026755933302801e-05,0.9992742035517028,-0.2838793684279179,0.5680175818940377,1.4206803454476624,29.997555495392085,2.576782223425333e-05
K10_w12_24,MX05_elu08,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,5,8.0,elu,0.5355,820859957,fgsm,0.8,682,0.0,0.1,0.0409158969733721,3.949705375310696e-05,9.421980619675896e-05,0.9991502037829972,-0.2426371836249858,0.470214924476057,1.3892829341904698,29.999583729251057,7.044700617813123e-05
K10_w12_24,MX05_elu10,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,5,10.0,elu,0.5439,279904009,fgsm,0.8,828,0.0,0.1,0.0377843776213459,2.913447605420157e-05,7.755201775609684e-05,0.9992997365955216,-0.2408445749166292,0.4264891011876322,1.3804617673317947,29.99798127915776,7.048756125133889e-05
K10_w12_24,MX05_elu12,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,5,12.0,elu,0.5517,441161650,fgsm,0.8,930,0.0,0.1,0.0359511821527884,2.39327811272998e-05,5.210785002902693e-05,0.9995294446024068,-0.2457483270373197,0.4082863981044223,1.4253218906863427,29.953058434423035,6.48134174366747e-05
K10_w12_24,MX05_elu16,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,5,16.0,elu,0.558,731804268,fgsm,0.8,1080,0.0,0.1,0.033989714598862,2.820559510794449e-05,9.941530799132972e-05,0.999102660699794,-0.4767326850489589,0.2259901065944808,2.419523894694721,16.716138398335957,6.774734149115412e-05
