name,K,width,eps0,lr_type,maxpool_kernel,power,activate,test_acc,seed,attack,certainty,samples,cutoff,pad,crit_eps,std_err_eps,MSE,R2,M,D,Q,B,nu
BP_K10_w04_MX07_relu04,10,4,0.001,cosine,7,4.0,relu,0.6241,254953465,fgsm,0.8,3133,0.0,0.1,0.0066027527060766,3.800117756137913e-06,8.354361097425521e-05,0.9992477072283832,-0.2740740565798544,0.1116923214035571,1.5463542571031317,30.01620876568507,7.012798419874022e-05
BP_K10_w04_MX07_relu06,10,4,0.001,cosine,7,6.0,relu,0.5816,8366424167,fgsm,0.8,3190,0.0,0.1,0.0048509578106595,5.83223292988812e-06,0.0002731881857531,0.997538893781539,-0.2731680153531501,0.1003318429843416,1.0970772289269284,30.033714227344287,7.023213200428645e-05
BP_K10_w04_MX07_relu08,10,4,0.001,cosine,7,8.0,relu,0.5302,2602200369,fgsm,0.8,3105,0.0,0.1,0.0039950282068433,9.243202628980814e-06,0.0007566988322745,0.9931851364314632,-0.2394217869039588,0.0959784420786232,0.3670190006454574,30.47765503431948,6.99335509096593e-05
BP_K10_w04_MX07_relu10,10,4,0.001,cosine,7,10.0,relu,0.4985,166010825,fgsm,0.8,2836,0.0,0.1,0.0037535492195074,1.1044454483646092e-05,0.0009889390096638,0.9910923476979562,-0.3015319045907418,0.0950198885133107,1.9912908146440167,30.08127536825518,6.979312771604306e-05
BP_K10_w04_MX07_relu12,10,4,0.001,cosine,7,12.0,relu,0.4575,830430145,fgsm,0.8,2128,0.0,0.1,0.0037448683366535,1.152574180526257e-05,0.0008229186809393,0.9925842862257112,-0.2604667724305055,0.0943909120548681,0.5667175105562701,29.990737613373938,6.983756474801376e-05
BP_K10_w04_MX07_relu16,10,4,0.001,cosine,7,16.0,relu,0.4168,399054748,fgsm,0.8,1846,0.0,0.1,0.0032189668733179,1.1116460181758964e-05,0.0008750296119869,0.9921149379595988,-0.2898204355411723,0.0827329168801679,1.394169175158772,30.10872581601561,7.012061808133473e-05
BP_K10_w04_MX07_rexp,10,4,0.001,cosine,7,0.0,rexp,0.697,798588297,fgsm,0.8,3603,0.0,0.1,0.0082375592402797,7.620590792757656e-06,0.0001489818478814,0.9986585427406444,-0.2731205448721434,0.1120178582957296,1.43944339438241,29.902055694976767,4.532988938818012e-05
BP_K10_w04_MX09_elu01,10,4,0.001,cosine,9,1.0,elu,0.702,2987863,fgsm,0.8,3387,0.0,0.1,0.0083821117445975,8.686240251382644e-06,0.0001758647915448,0.9984160472166024,-0.267951603000546,0.1133269570515657,1.260166006253236,29.99816652861189,4.4252581070005706e-05
BP_K10_w04_MX09_elu02,10,4,0.001,cosine,9,2.0,elu,0.6748,176395863,fgsm,0.8,3236,0.0,0.1,0.0106367954116848,7.0532915131895184e-06,5.158877678730102e-05,0.9995353718380632,-0.2824285332601308,0.1416355155498447,1.3633189210378125,29.990161366260285,3.0057162853876733e-05
BP_K10_w04_MX09_elu04,10,4,0.001,cosine,9,4.0,elu,0.6342,25091760,fgsm,0.8,3037,0.0,0.1,0.0075884889224476,4.182040557293202e-06,7.661906391330732e-05,0.999309860034052,-0.2661610457147866,0.1223911037462786,1.319271037179405,29.991764835563888,7.013360420409047e-05
